Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
14997857.txt	tomography	RID28840	RID28840		tomography/2882								
14997857.txt	noninvasive	RID5681	RID5681		noninvasive/2898								
14997857.txt	calcification	RID5196	RID5196		calcification/2961								
14997857.txt	calcification coronary	RID50146	RID50146		calcification/2961, coronary/2982								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/3023, calcification/3032								
14997857.txt	coronary calcification coronary artery	RID50146	RID50146		coronary/3023, calcification/3032, coronary/3105, artery/3114								
14997857.txt	calcification	RID5196	RID5196		calcification/3032								
14997857.txt	CT	RID10321	RID10321		CT/3059								
14997857.txt	coronary artery	RID35862	RID35862		coronary/3105, artery/3114								
14997857.txt	coronary artery	RID28727	RID28727		coronary/3105, artery/3114								
14997857.txt	artery	RID478	RID478		artery/3114								
14997857.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/3164								
14997857.txt	11	RID6016	RID6016		11/3181								
14997857.txt	calcium	RID11800	RID11800		calcium/3198								
14997857.txt	calcium scores	RID28808	RID28808		calcium/3198, scores/3206								
14997857.txt	coronary artery	RID35862	RID35862		coronary/3327, artery/3336								
14997857.txt	coronary artery	RID28727	RID28727		coronary/3327, artery/3336								
14997857.txt	artery	RID478	RID478		artery/3336								
14997857.txt	calcium	RID11800	RID11800		calcium/3343								
14997857.txt	calcium scores	RID28808	RID28808		calcium/3343, scores/3351								
14997857.txt	white	RID39151	RID39151		white/3384								
14997857.txt	asymptomatic	RID38811	RID38811		asymptomatic/3391								
14997857.txt	fast	RID34329	RID34329		fast/3438								
14997857.txt	computed tomography	RID10321	RID10321		computed/3443, tomography/3452								
14997857.txt	tomography	RID28840	RID28840		tomography/3452								
14997857.txt	asymptomatic	RID38811	RID38811		asymptomatic/3492								
14997857.txt	computed tomography	RID10321	RID10321		computed/3596, tomography/3605								
14997857.txt	tomography	RID28840	RID28840		tomography/3605								
14997857.txt	indication	RID49442	RID49442		indication/3735								
14997857.txt	patients	RID49815	RID49815		patients/3782								
14997857.txt	routine	RID10392	RID10392		routine/3794								
14997857.txt	assessments	RID36026	RID36026		assessments/3802								
14997857.txt	diagnosis	RID10394	RID10394		diagnosis/3843								
14997857.txt	artery	RID478	RID478		artery/3865								
14997857.txt	angiography	RID10371	RID10371		angiography/3896								
14997857.txt	angiography catheter	RID10365	RID10365		angiography/3896, catheter/3935								
14997857.txt	catheter	RID5576	RID5576		catheter/3935								
14997857.txt	coronary artery	RID35862	RID35862		coronary/3947, artery/3956								
14997857.txt	coronary artery	RID28727	RID28727		coronary/3947, artery/3956								
14997857.txt	artery	RID478	RID478		artery/3956								
14997857.txt	CT	RID10321	RID10321		CT/4011								
14997857.txt	scans triggered	RID12361	RID12361		scans/4014, triggered/4228								
14997857.txt	imaging procedure	RID13060	RID13060		imaging/4125, procedure/4133								
14997857.txt	procedure	RID1559	RID1559		procedure/4133								
14997857.txt	procedure pause	RID45917	RID45917		procedure/4133, pause/4322								
14997857.txt	heart	RID1385	RID1385		heart/4165								
14997857.txt	thickness	RID28672	RID28672		thickness/4183								
14997857.txt	temporary	RID5730	RID5730		temporary/4273								
14997857.txt	contiguous	RID39044	RID39044		contiguous/4346								
14997857.txt	coronary artery	RID35862	RID35862		coronary/4379, artery/4388								
14997857.txt	coronary artery	RID28727	RID28727		coronary/4379, artery/4388								
14997857.txt	coronary artery calcification	RID50146	RID50146		coronary/4379, artery/4388, calcification/4395								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/4379, calcification/4395								
14997857.txt	artery	RID478	RID478		artery/4388								
14997857.txt	calcification	RID5196	RID5196		calcification/4395								
14997857.txt	attenuation	RID28662	RID28662		attenuation/4418								
14997857.txt	superior	RID5822	RID5822		superior/4442								
14997857.txt	Hounsfield units	RID39161	RID39161		Hounsfield/4458, units/4469								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/4480, calcification/4563								
14997857.txt	calcium	RID11800	RID11800		calcium/4489								
14997857.txt	calcium score	RID28808	RID28808		calcium/4489, score/4497								
14997857.txt	calcification	RID5196	RID5196		calcification/4563								
14997857.txt	attenuation	RID28662	RID28662		attenuation/4650								
14997857.txt	Hounsfield units	RID39161	RID39161		Hounsfield/4769, units/4780								
14997857.txt	Hounsfield units	RID39161	RID39161		Hounsfield/4822, units/4833								
14997857.txt	calcium	RID11800	RID11800		calcium/4955								
14997857.txt	calcium score	RID28808	RID28808		calcium/4955, score/4963								
14997857.txt	all	RID5769	RID5769		all/4984								
14997857.txt	all	RID5769	RID5769		all/5009								
14997857.txt	coronary arteries	RID35862	RID35862		coronary/5013, arteries/5022								
14997857.txt	coronary arteries	RID28727	RID28727		coronary/5013, arteries/5022								
14997857.txt	arteries	RID28585	RID28585		arteries/5022								
14997857.txt	arteries	RID478	RID478		arteries/5022								
14997857.txt	all	RID5769	RID5769		all/5034								
14997857.txt	Diagnostics	RID39446	RID39446		Diagnostics/5125								
14997857.txt	calculations	RID12780	RID12780		calculations/5192								
14997857.txt	after	RID39330	RID39330		after/5205								
14997857.txt	calcium	RID11800	RID11800		calcium/5227								
14997857.txt	groups	RID5700	RID5700		groups/5299								
14997857.txt	old	RID5721	RID5721		old/5318								
14997857.txt	old	RID5721	RID5721		old/5335								
14997857.txt	old	RID5721	RID5721		old/5352								
14997857.txt	old	RID5721	RID5721		old/5369								
14997857.txt	old	RID5721	RID5721		old/5386								
14997857.txt	old	RID5721	RID5721		old/5403								
14997857.txt	mean	RID39224	RID39224		mean/5431								
14997857.txt	median	RID5846	RID5846		median/5437								
14997857.txt	deviation	RID10445	RID10445		deviation/5457								
14997857.txt	groups	RID5700	RID5700		groups/5538								
14997857.txt	calcium	RID11800	RID11800		calcium/5798								
14997857.txt	calcium scores	RID28808	RID28808		calcium/5798, scores/5806								
14997857.txt	calcium	RID11800	RID11800		calcium/5874								
14997857.txt	calcium scores	RID28808	RID28808		calcium/5874, scores/5882								
14997857.txt	groups	RID5700	RID5700		groups/5944								
14997857.txt	measures	RID10409	RID10409		measures/5990								
14997857.txt	RM	RID26391	RID26391		RM/6018								
14997857.txt	inferior	RID5823	RID5823		inferior/6080								
14997857.txt	mean	RID39224	RID39224		mean/6140								
14997857.txt	deviation	RID10445	RID10445		deviation/6155								
14997857.txt	calcium	RID11800	RID11800		calcium/6250								
14997857.txt	calcium score	RID28808	RID28808		calcium/6250, score/6258								
14997857.txt	superior	RID5822	RID5822		superior/6270								
14997857.txt	mean	RID39224	RID39224		mean/6341								
14997857.txt	median	RID5846	RID5846		median/6347								
14997857.txt	deviation	RID10445	RID10445		deviation/6367								
14997857.txt	calcium	RID11800	RID11800		calcium/6393								
14997857.txt	calcium scores	RID28808	RID28808		calcium/6393, scores/6401								
14997857.txt	calcium	RID11800	RID11800		calcium/6556								
14997857.txt	calcium score	RID28808	RID28808		calcium/6556, score/6564								
14997857.txt	groups	RID5700	RID5700		groups/6635								
14997857.txt	median	RID5846	RID5846		median/6737								
14997857.txt	calcium	RID11800	RID11800		calcium/6756								
14997857.txt	calcium scores	RID28808	RID28808		calcium/6756, scores/6764								
14997857.txt	calcium	RID11800	RID11800		calcium/6811								
14997857.txt	calcium scores	RID28808	RID28808		calcium/6811, scores/6819								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/6952, calcification/6961								
14997857.txt	calcification	RID5196	RID5196		calcification/6961								
14997857.txt	computed tomography	RID10321	RID10321		computed/6988, tomography/6997								
14997857.txt	tomography	RID28840	RID28840		tomography/6997								
14997857.txt	assess	RID36026	RID36026		assess/7050								
14997857.txt	asymptomatic	RID38811	RID38811		asymptomatic/7088								
14997857.txt	calcium	RID11800	RID11800		calcium/7127								
14997857.txt	calcium scores	RID28808	RID28808		calcium/7127, scores/7135								
14997857.txt	diagnostic	RID39446	RID39446		diagnostic/7189								
14997857.txt	first	RID5996	RID5996		first/7244								
14997857.txt	calcium	RID11800	RID11800		calcium/7275								
14997857.txt	calcium scores	RID28808	RID28808		calcium/7275, scores/7283								
14997857.txt	computed tomography	RID10321	RID10321		computed/7312, tomography/7321								
14997857.txt	tomography	RID28840	RID28840		tomography/7321								
14997857.txt	calcium	RID11800	RID11800		calcium/7427								
14997857.txt	calcium scores	RID28808	RID28808		calcium/7427, scores/7435								
14997857.txt	US	RID10326	RID10326		US/7451								
14997857.txt	calcium	RID11800	RID11800		calcium/7508								
14997857.txt	calcium scores	RID28808	RID28808		calcium/7508, scores/7516								
14997857.txt	coronary artery	RID35862	RID35862		coronary/7594, artery/7603								
14997857.txt	coronary artery	RID28727	RID28727		coronary/7594, artery/7603								
14997857.txt	artery	RID478	RID478		artery/7603								
14997857.txt	composition	RID39409	RID39409		composition/7676								
14997857.txt	calcium	RID11800	RID11800		calcium/7718								
14997857.txt	calcium scores	RID28808	RID28808		calcium/7718, scores/7726								
14997857.txt	high	RID46060	RID46060		high/7741								
14997857.txt	deviations	RID10445	RID10445		deviations/7847								
14997857.txt	deviations	RID5839	RID5839		deviations/7847								
14997857.txt	average	RID39165	RID39165		average/7878								
14997857.txt	mean	RID39224	RID39224		mean/7926								
14997857.txt	inadequate	RID39106	RID39106		inadequate/7954								
14997857.txt	median	RID5846	RID5846		median/8042								
14997857.txt	present	RID28472	RID28472		present/8075								
14997857.txt	all	RID5769	RID5769		all/8096								
14997857.txt	groups	RID5700	RID5700		groups/8119								
14997857.txt	score calcium	RID28808	RID28808		score/8147, calcium/8270								
14997857.txt	median	RID5846	RID5846		median/8192								
14997857.txt	median artery artery	RID45107	RID45107		median/8192, artery/8263, artery/8507								
14997857.txt	coronary artery	RID35862	RID35862		coronary/8254, artery/8263								
14997857.txt	coronary artery	RID28727	RID28727		coronary/8254, artery/8263								
14997857.txt	coronary calcification coronary	RID50146	RID50146		coronary/8254, calcification/8477, coronary/8498								
14997857.txt	artery	RID478	RID478		artery/8263								
14997857.txt	calcium	RID11800	RID11800		calcium/8270								
14997857.txt	increased	RID36043	RID36043		increased/8285								
14997857.txt	small	RID5774	RID5774		small/8372								
14997857.txt	superior	RID5822	RID5822		superior/8418								
14997857.txt	comparison	RID28483	RID28483		comparison/8463								
14997857.txt	calcification	RID5196	RID5196		calcification/8477								
14997857.txt	calcification coronary artery	RID50146	RID50146		calcification/8477, coronary/8498, artery/8507								
14997857.txt	coronary artery	RID35862	RID35862		coronary/8498, artery/8507								
14997857.txt	coronary artery	RID28727	RID28727		coronary/8498, artery/8507								
14997857.txt	artery	RID478	RID478		artery/8507								
14997857.txt	medians	RID5846	RID5846		medians/8605								
14997857.txt	no	RID28475	RID28475		no/8635								
14997857.txt	limitation evaluation	RID10386	RID10386		limitation/8729, evaluation/8836								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/8850, calcification/8859								
14997857.txt	calcification	RID5196	RID5196		calcification/8859								
14997857.txt	ages	RID11854	RID11854		ages/8885								
14997857.txt	old	RID5721	RID5721		old/8917								
14997857.txt	calcium	RID11800	RID11800		calcium/9047								
14997857.txt	calcium score	RID28808	RID28808		calcium/9047, score/9055								
14997857.txt	risk high	RID46067	RID46067		risk/9068, high/9132								
14997857.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/9085								
14997857.txt	high	RID46060	RID46060		high/9132								
14997857.txt	blood	RID1543	RID1543		blood/9137								
14997857.txt	pressure	RID13034	RID13034		pressure/9143								
14997857.txt	not evaluated	RID39225	RID39225		not/9172, evaluated/9176								
14997857.txt	calcium	RID11800	RID11800		calcium/9239								
14997857.txt	images computed	RID12753	RID12753		images/9331, computed/9360								
14997857.txt	computed tomography	RID10321	RID10321		computed/9360, tomography/9369								
14997857.txt	tomography	RID28840	RID28840		tomography/9369								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/9381, calcification/9390								
14997857.txt	calcification	RID5196	RID5196		calcification/9390								
14997857.txt	density	RID3874	RID3874		density/9449								
14997857.txt	tissues	RID13298	RID13298		tissues/9509								
14997857.txt	fast	RID34329	RID34329		fast/9533								
14997857.txt	CT	RID10321	RID10321		CT/9538								
14997857.txt	CT helicals	RID12309	RID12309		CT/9538, helicals/9599								
14997857.txt	CT image artifacts	RID11323	RID11323		CT/9538, image/9619, artifacts/9712								
14997857.txt	CT device	RID29004	RID29004		CT/9538, device/9737								
14997857.txt	image acquisition	RID28917	RID28917		image/9619, acquisition/9625								
14997857.txt	image acquisition rate	RID12509	RID12509		image/9619, acquisition/9625, rate/9637								
14997857.txt	image device	RID29037	RID29037		image/9619, device/9737								
14997857.txt	acquisition	RID28660	RID28660		acquisition/9625								
14997857.txt	reduces	RID49912	RID49912		reduces/9692								
14997857.txt	artifacts	RID11296	RID11296		artifacts/9712								
14997857.txt	gold	RID11918	RID11918		gold/9748								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/9777, calcification/9786								
14997857.txt	calcification	RID5196	RID5196		calcification/9786								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/9834, calcification/9843								
14997857.txt	coronary calcification coronary artery	RID50146	RID50146		coronary/9834, calcification/9843, coronary/9925, artery/9934								
14997857.txt	calcification	RID5196	RID5196		calcification/9843								
14997857.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/9872								
14997857.txt	coronary artery	RID35862	RID35862		coronary/9925, artery/9934								
14997857.txt	coronary artery	RID28727	RID28727		coronary/9925, artery/9934								
14997857.txt	artery	RID478	RID478		artery/9934								
14997857.txt	known	RID39120	RID39120		known/9959								
14997857.txt	calcium	RID11800	RID11800		calcium/10023								
14997857.txt	present	RID28472	RID28472		present/10043								
14997857.txt	lesion	RID3874	RID3874		lesion/10113								
14997857.txt	lesion	RID34301	RID34301		lesion/10113								
14997857.txt	lesion	RID38780	RID38780		lesion/10113								
14997857.txt	lesion	RID39055	RID39055		lesion/10113								
14997857.txt	streaks fatty	RID3288	RID3288		streaks/10140, fatty/10151								
14997857.txt	fatty	RID5878	RID5878		fatty/10151								
14997857.txt	tissue	RID13298	RID13298		tissue/10157								
14997857.txt	calcium	RID11800	RID11800		calcium/10179								
14997857.txt	invasive	RID5680	RID5680		invasive/10252								
14997857.txt	lesion	RID3874	RID3874		lesion/10277								
14997857.txt	lesion	RID34301	RID34301		lesion/10277								
14997857.txt	lesion	RID38780	RID38780		lesion/10277								
14997857.txt	lesion	RID39055	RID39055		lesion/10277								
14997857.txt	progresses	RID39162	RID39162		progresses/10284								
14997857.txt	cells	RID39348	RID39348		cells/10343								
14997857.txt	fibrous	RID5879	RID5879		fibrous/10353								
14997857.txt	tissue	RID13298	RID13298		tissue/10361								
14997857.txt	calcium	RID11800	RID11800		calcium/10369								
14997857.txt	basis	RID5949	RID5949		basis/10418								
14997857.txt	computed tomography	RID10321	RID10321		computed/10478, tomography/10487								
14997857.txt	tomography	RID28840	RID28840		tomography/10487								
14997857.txt	caudal	RID5832	RID5832		caudal/10591								
14997857.txt	coronary arteries	RID35862	RID35862		coronary/10614, arteries/10623								
14997857.txt	coronary arteries	RID28727	RID28727		coronary/10614, arteries/10623								
14997857.txt	arteries	RID28585	RID28585		arteries/10623								
14997857.txt	arteries	RID478	RID478		arteries/10623								
14997857.txt	calcium	RID11800	RID11800		calcium/10642								
14997857.txt	all	RID5769	RID5769		all/10661								
14997857.txt	lesions	RID3874	RID3874		lesions/10665								
14997857.txt	lesions	RID34301	RID34301		lesions/10665								
14997857.txt	lesions	RID38780	RID38780		lesions/10665								
14997857.txt	lesions	RID39055	RID39055		lesions/10665								
14997857.txt	amount	RID5761	RID5761		amount/10711								
14997857.txt	calcium	RID11800	RID11800		calcium/10721								
14997857.txt	amount	RID5761	RID5761		amount/10737								
14997857.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/10747								
14997857.txt	coronary artery	RID35862	RID35862		coronary/10783, artery/10792								
14997857.txt	coronary artery	RID28727	RID28727		coronary/10783, artery/10792								
14997857.txt	artery	RID478	RID478		artery/10792								
14997857.txt	Injuries	RID4628	RID4628		Injuries/10810								
14997857.txt	without	RID49854	RID49854		without/10819								
14997857.txt	calcification	RID5196	RID5196		calcification/10827								
14997857.txt	calcification coronary coronary	RID50146	RID50146		calcification/10827, coronary/10899, coronary/11031								
14997857.txt	calcification coronary coronary artery	RID50146	RID50146		calcification/10827, coronary/10899, coronary/11031, artery/11040								
14997857.txt	clear	RID38670	RID38670		clear/10853								
14997857.txt	obstruction	RID4962	RID4962		obstruction/10880								
14997857.txt	lumen	RID5969	RID5969		lumen/10908								
14997857.txt	calcium	RID11800	RID11800		calcium/10988								
14997857.txt	measure	RID10409	RID10409		measure/11018								
14997857.txt	coronary artery	RID35862	RID35862		coronary/11031, artery/11040								
14997857.txt	coronary artery	RID28727	RID28727		coronary/11031, artery/11040								
14997857.txt	artery	RID478	RID478		artery/11040								
14997857.txt	calcium	RID11800	RID11800		calcium/11146								
14997857.txt	computed tomography	RID10321	RID10321		computed/11167, tomography/11176								
14997857.txt	tomography	RID28840	RID28840		tomography/11176								
14997857.txt	hearts	RID1385	RID1385		hearts/11199								
14997857.txt	ultrasound	RID10326	RID10326		ultrasound/11296								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/11336, calcification/11345								
14997857.txt	calcification	RID5196	RID5196		calcification/11345								
14997857.txt	atherosclerotic plaque	RID3290	RID3290		atherosclerotic/11382, plaque/11398								
14997857.txt	10	RID6014	RID6014		10/11413								
14997857.txt	Several	RID5763	RID5763		Several/11492								
14997857.txt	Several disease	RID5379	RID5379		Several/11492, disease/11584								
14997857.txt	both	RID5770	RID5770		both/11528								
14997857.txt	coronary artery	RID35862	RID35862		coronary/11568, artery/11577								
14997857.txt	coronary artery	RID28727	RID28727		coronary/11568, artery/11577								
14997857.txt	coronary artery coronary calcification	RID50146	RID50146		coronary/11568, artery/11577, coronary/11619, calcification/11628								
14997857.txt	artery	RID478	RID478		artery/11577								
14997857.txt	artery vessel	RID478	RID478		artery/11577, vessel/11647								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/11619, calcification/11628								
14997857.txt	calcification	RID5196	RID5196		calcification/11628								
14997857.txt	vessel	RID4	RID4		vessel/11647								
14997857.txt	computed tomography	RID10321	RID10321		computed/11725, tomography/11734								
14997857.txt	tomography	RID28840	RID28840		tomography/11734								
14997857.txt	diagnosis	RID10394	RID10394		diagnosis/11753								
14997857.txt	obstruction	RID4962	RID4962		obstruction/11775								
14997857.txt	sits	RID10452	RID10452		sits/11787								
14997857.txt	screening	RID28817	RID28817		screening/11869								
14997857.txt	tomography	RID28840	RID28840		tomography/11935								
14997857.txt	without	RID49854	RID49854		without/12007								
14997857.txt	intermediate	RID5775	RID5775		intermediate/12190								
14997857.txt	tests	RID6784	RID6784		tests/12356								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/12492, calcification/12501								
14997857.txt	calcification	RID5196	RID5196		calcification/12501								
14997857.txt	increased	RID36043	RID36043		increased/12537								
14997857.txt	11	RID6016	RID6016		11/12572								
14997857.txt	absence	RID34780	RID34780		absence/12591								
14997857.txt	follow up	RID35965	RID35965		follow/12666, up/12673								
14997857.txt	calcium	RID11800	RID11800		calcium/12726								
14997857.txt	calcium scores	RID28808	RID28808		calcium/12726, scores/12734								
14997857.txt	patients	RID49815	RID49815		patients/12858								
14997857.txt	coronary coronary artery coronary	RID35862	RID35862		coronary/12872, coronary/12947, artery/12956, coronary/13079								
14997857.txt	coronary coronary artery coronary	RID28727	RID28727		coronary/12872, coronary/12947, artery/12956, coronary/13079								
14997857.txt	calcium	RID11800	RID11800		calcium/12881								
14997857.txt	calcium scores	RID28808	RID28808		calcium/12881, scores/12889								
14997857.txt	median	RID5846	RID5846		median/12906								
14997857.txt	median artery median	RID45107	RID45107		median/12906, artery/12956, median/13125								
14997857.txt	death	RID34658	RID34658		death/12936								
14997857.txt	artery	RID478	RID478		artery/12956								
14997857.txt	myocardial infarction	RID3236	RID3236		myocardial/12974, infarction/12985								
14997857.txt	infarction	RID5172	RID5172		infarction/12985								
14997857.txt	calcium	RID11800	RID11800		calcium/13088								
14997857.txt	lower	RID46058	RID46058		lower/13110								
14997857.txt	median	RID5846	RID5846		median/13125								
14997857.txt	calcium	RID11800	RID11800		calcium/13189								
14997857.txt	calcium score	RID28808	RID28808		calcium/13189, score/13197								
14997857.txt	age patients	RID13163	RID13163		age/13251, patients/13460								
14997857.txt	upper	RID46057	RID46057		upper/13271								
14997857.txt	myocardial infarction	RID3236	RID3236		myocardial/13358, infarction/13369								
14997857.txt	infarction	RID5172	RID5172		infarction/13369								
14997857.txt	death	RID34658	RID34658		death/13387								
14997857.txt	coronary artery	RID35862	RID35862		coronary/13398, artery/13407								
14997857.txt	coronary artery	RID28727	RID28727		coronary/13398, artery/13407								
14997857.txt	artery	RID478	RID478		artery/13407								
14997857.txt	patients	RID49815	RID49815		patients/13460								
14997857.txt	patients high risk	RID49816	RID49816		patients/13460, high/13474, risk/13479								
14997857.txt	high	RID46060	RID46060		high/13474								
14997857.txt	high risk	RID46067	RID46067		high/13474, risk/13479								
14997857.txt	11	RID6016	RID6016		11/13668								
14997857.txt	calcium	RID11800	RID11800		calcium/13695								
14997857.txt	calcium scores	RID28808	RID28808		calcium/13695, scores/13703								
14997857.txt	increased	RID36043	RID36043		increased/13743								
14997857.txt	obstructions	RID4962	RID4962		obstructions/13770								
14997857.txt	obstructions	RID5893	RID5893		obstructions/13770								
14997857.txt	11	RID6016	RID6016		11/13823								
14997857.txt	follow up	RID35965	RID35965		follow/13832, up/13839								
14997857.txt	calcium	RID11800	RID11800		calcium/13899								
14997857.txt	calcium score	RID28808	RID28808		calcium/13899, score/13907								
14997857.txt	superior	RID5822	RID5822		superior/13913								
14997857.txt	myocardial infarction	RID3236	RID3236		myocardial/14009, infarction/14020								
14997857.txt	infarction	RID5172	RID5172		infarction/14020								
14997857.txt	death	RID34658	RID34658		death/14034								
14997857.txt	coronary artery	RID35862	RID35862		coronary/14045, artery/14054								
14997857.txt	coronary artery	RID28727	RID28727		coronary/14045, artery/14054								
14997857.txt	artery	RID478	RID478		artery/14054								
14997857.txt	high	RID46060	RID46060		high/14159								
14997857.txt	high risk	RID46067	RID46067		high/14159, risk/14164								
14997857.txt	calcium	RID11800	RID11800		calcium/14225								
14997857.txt	calcium scores	RID28808	RID28808		calcium/14225, scores/14233								
14997857.txt	inadequate	RID39106	RID39106		inadequate/14375								
14997857.txt	calcium	RID11800	RID11800		calcium/14496								
14997857.txt	calcium scores	RID28808	RID28808		calcium/14496, scores/14504								
14997857.txt	known	RID39120	RID39120		known/14584								
14997857.txt	markers	RID49905	RID49905		markers/14626								
14997857.txt	increased	RID36043	RID36043		increased/14670								
14997857.txt	atherosclerotic plaque	RID3290	RID3290		atherosclerotic/14680, plaque/14696								
14997857.txt	coronary calcification	RID50146	RID50146		coronary/14743, calcification/14752								
14997857.txt	calcification	RID5196	RID5196		calcification/14752								
14997857.txt	amount	RID5761	RID5761		amount/14785								
